Gene_panel	genes_in_panel	POL_SNP_cum_AF_sum	POL_SNP_cum_AC_sum	POL_SNP_cum_AN_sum_adjusted	POL_number_unique_variants_sum	gnomAD_NFE_SNP_cum_AF_sum	gnomAD_NFE_SNP_cum_AC_sum	gnomAD_NFE_SNP_cum_AN_sum_adjusted	gnomAD_NFE_number_unique_variants_sum	cum_AF_fold_change	fisher_p	fisher_p_corr	fisher_q
Chondrodysplasia punctata	3	0	0	6456	0	0.0015025928	97	193794	97	0	0	0	1
Multi-organ autoimmune diabetes	2	0	0	4304	0	0.0001241155	8	129196	8	0	0	0	1
Neurotransmitter disorders	13	0	0	27976	0	0.0037933218	245	839774	245	0	0	0	1
Amyotrophic lateral sclerosis/motor neuron disease	3	0	0	6456	0	0.0008827676	57	193794	57	0	0	0	1
Lipoprotein lipase deficiency	4	0	0	8608	0	0.000216863	14	258392	14	0	0	0	1
Severe hypertriglyceridaemia	4	0	0	8608	0	0.000216863	14	258392	14	0	0	0	1
Paroxysmal central nervous system disorders	4	0	0	8608	0	0.0000464891	3	258392	3	0	0	0	1
Pulmonary arterial hypertension	1	0	0	2152	0	0	0	64598	0	0	0	0	1
Mitochondrial disorder with complex V deficiency	3	0	0	6456	0	0.000185943	12	193794	12	0	0	0	1
Osteopetrosis	10	0	0	21520	0	0.0008982297	58	645980	58	0	0	0	1
Viral resistance	2	0	0	4304	0	0.0000309943	2	129196	2	0	0	0	1
Stickler syndrome	4	0	0	8608	0	0.0000155198	1	258392	1	0	0	0	1
Cerebral folate deficiency	4	0	0	8608	0	0.0009272007	60	258392	60	0	0	0	1
Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders	1	0	0	2152	0	0.0000774281	5	64598	5	0	0	0	1
Dilated cardiomyopathy - adult and teen	1	0	0	2152	0	0.0000309895	2	64598	2	0	0	0	1
Non-syndromic hypotrichosis	4	0	0	8608	0	0.000309768	20	258392	20	0	0	0	1
Familial Hirschsprung Disease	3	0	0	6456	0	0.0002015756	13	193794	13	0	0	0	1
Dilated Cardiomyopathy and conduction defects	7	0	0	15064	0	0.001099627	71	452186	71	0	0	0	1
Familial tumoral calcinosis	2	0	0	4304	0	0.0001858739	12	129196	12	0	0	0	1
Amyloidosis	1	0	0	2152	0	0	0	64598	0	0	0	0	1
VACTERL-like phenotypes	4	0	0	8608	0	0.0001859206	12	258392	12	0	0	0	1
Periodic fever syndromes	6	0	0	12912	0	0.0008054794	52	387588	52	0	0	0	1
Generalised pustular psoriasis	1	0	0	2152	0	0	0	64598	0	0	0	0	1
Long QT syndrome	2	0	0	4304	0	0.000495711	32	129196	32	0	0	0	1
Familial hypercholesterolaemia - targeted panel	1	0	0	2152	0	0.0001242023	8	64598	8	0	0	0	1
Combined factor V and VIII deficiency	2	0	0	4304	0	0.0000154866	1	129196	1	0	0	0	1
Genomic imprinting	5	0	0	10760	0	0.0000619694	4	322990	4	0	0	0	1
Congenital fibrosis of the extraocular muscles	1	0	0	2152	0	0	0	64598	0	0	0	0	1
Mitochondrial disorder with complex II deficiency	3	0	0	6456	0	0.0007743154	50	193794	50	0	0	0	1
Hyperthyroidism	1	0	0	2152	0	0.0000464526	3	64598	3	0	0	0	1
Familial hypoparathyroidism	1	0	0	2152	0	0.0000464569	3	64598	3	0	0	0	1
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	1	0	0	2152	0	0	0	64598	0	0	0	0	1
Hydroa vacciniforme	1	0	0	2152	0	0	0	64598	0	0	0	0	1
Hereditary Erythrocytosis	1	0	0	2152	0	0.0000464593	3	64598	3	0	0	0	1
Hypotonic infant	1342	0.48904307	1052	2887984	1052	0.633227235	40905	86690516	40884	-0.372761778030975	0.00000000000000000674934466440118	0.00000000000000167383747677149	0.00000000000000144435975818185
Neuromuscular disorders	158	0.060412822	130	340016	130	0.1184821537	7654	10206484	7656	-0.971743086110468	0.000000000000000022353544205841	0.00000000000000554367896304858	0.00000000000000239182923002499
Paediatric disorders	2415	1.09847992	2364	5197080	2363	1.2759208707	82422	156004170	82367	-0.216030361859468	0.000000000000222975831371098	0.0000000000552980061800323	0.0000000000159056093044716
Peeling skin syndrome	5	0.018122652	39	10760	39	0.0045380025	293	322990	293	1.99766478043225	0.00000000000584581954486798	0.00000000144976324712726	0.000000000312751345650437
Limb girdle muscular dystrophy	32	0.015800557	34	68864	34	0.0396644381	2562	2067136	2563	-1.32787069434886	0.000000000719863237799484	0.000000178526082974272	0.0000000308101465778179
Epidermolysis bullosa	12	0.018587336	40	25824	40	0.0069242152	447	775176	447	1.42459754461447	0.000000108567683135339	0.0000269247854175641	0.00000387224736516043
White matter disorders - childhood onset	1448	0.516006464	1110	3116096	1110	0.6022723716	38906	93537904	38877	-0.223026940461866	0.000000203361634254739	0.0000504336852951754	0.00000621705567578775
Epidermolysis bullosa and congenital skin fragility	20	0.020910756	45	43040	45	0.0086148041	556	1291960	556	1.27935532639265	0.000000320639121929067	0.0000795185022384086	0.00000857709651160254
Fetal anomalies	564	0.267912833	577	1213728	576	0.3287392056	21236	36433272	21223	-0.295179835406977	0.000000676060667414987	0.000167663045518917	0.0000160752203140897
Rhabdomyolysis and metabolic muscle disorders	35	0.021841014	47	75320	47	0.0419445412	2710	2260930	2710	-0.941443228850256	0.00000108497089405751	0.000269072781726262	0.0000232183771328307
Hydrocephalus	39	0.008829862	19	83928	19	0.0230871066	1491	2519322	1491	-1.38662458256777	0.00000177231273243142	0.000439533557642991	0.0000344795386127567
Fetal hydrops	38	0.014405638	31	81776	31	0.0311491992	2012	2454724	2011	-1.11256151786138	0.00000225263441704438	0.000558653335427007	0.0000401719804372915
Hyperammonaemia	40	0.0190529	41	86080	41	0.0359803447	2324	2583920	2323	-0.917198404136097	0.0000114501432662914	0.00283963553004026	0.000188486973768181
Intellectual disability	621	0.204608283	440	1336392	440	0.2486466699	16062	40115358	16050	-0.281232559618657	0.0000338599225667023	0.00839726079654217	0.000517573102091021
Malformations of cortical development	39	0.00929455	20	83928	20	0.0203332571	1313	2519322	1313	-1.12938440982957	0.000130512033502876	0.0323669843087133	0.00183118931279644
Inborn errors of metabolism	563	0.224021965	482	1211576	482	0.2660984114	17189	36368674	17178	-0.24831970434805	0.000136911350489453	0.0339540149213844	0.00183118931279644
Rare anaemia	41	0.006971124	15	88232	15	0.0168698126	1090	2648518	1089	-1.27498075225646	0.000157318007158105	0.0390148657752101	0.00198035609010791
Cardiomyopathies - including childhood onset	68	0.022770819	49	146336	49	0.0377879431	2441	4392664	2440	-0.730739808995983	0.000174807319522092	0.0433522152414787	0.00207826479876264
Optic neuropathy	10	0.004668142	10	21520	10	0.001053225	68	645980	68	2.14803477538301	0.000205565635212832	0.0509802775327823	0.002315318207134
Autosomal recessive primary hypertrophic osteoarthropathy	2	0.002788104	6	4304	6	0.0003717868	24	129196	24	2.90673692214188	0.000341102256558305	0.0845933596264596	0.00350535938485118
Mitochondrial disorder with complex I deficiency	27	0.001394052	3	58104	3	0.0072803439	470	1744146	470	-2.38472222364083	0.000343983864868573	0.0853079984874062	0.00350535938485118
DDG2P	704	0.322600424	694	1515008	694	0.3688148632	23825	45476992	23808	-0.19314846273955	0.000419966766916283	0.104151758195238	0.00408513127818566
Thrombophilia	6	0.000464684	1	12912	1	0.0050958435	329	387588	329	-3.45499909528904	0.00046044301247445	0.114189867093664	0.00428412194215358
Possible mitochondrial disorder - nuclear genes	191	0.03532164	76	411032	76	0.0517690454	3344	12338218	3341	-0.551537386202109	0.00057518604685818	0.142646139620829	0.0051287422511521
Arthrogryposis	89	0.022771246	49	191528	49	0.0364714422	2356	5749222	2355	-0.679554014468874	0.000632705893804206	0.156911061663443	0.005415962450964
Palmoplantar keratoderma and erythrokeratodermas	14	0.009758372	21	30128	21	0.0042747938	276	904372	276	1.1907856499669	0.000814881714457041	0.202090665185346	0.00670710334206949
Undiagnosed metabolic disorders	516	0.22215887	478	1110432	478	0.2585292619	16700	33332568	16690	-0.218735838610131	0.00087554969132382	0.217136323448307	0.00684125071834483
Nephrocalcinosis or nephrolithiasis	21	0.006970258	15	45192	15	0.0153834959	994	1356558	994	-1.14209943035488	0.00089511691641895	0.2219889952719	0.00684125071834483
Thoracic aortic aneurysm and dissection	5	0.004646844	10	10760	10	0.0015334523	99	322990	99	1.59946792227417	0.00283361825352151	0.702737326873335	0.0209101484915036
GI tract tumours	6	0.00418302	9	12912	9	0.0103032797	666	387588	665	-1.30048684262544	0.00301837509128305	0.748557022638196	0.0215310756511524
IUGR and IGF abnormalities	44	0.048810512	105	94688	105	0.0360447025	2328	2842312	2327	0.437404643271174	0.00334880927798281	0.830504700939737	0.0231175866286555
Childhood onset dystonia or chorea or related movement disorder	93	0.032064922	69	200136	69	0.0452095016	2920	6007614	2918	-0.49563011540999	0.00367267427705524	0.910823220709699	0.0245610092278069
Lysosomal storage disorder	46	0.026955567	58	98992	58	0.0389988681	2519	2971508	2518	-0.532848995493786	0.00435000361123287	1.07880089558575	0.0276384679286065
Ophthalmological ciliopathies	54	0.041358646	89	116208	89	0.0556882985	3597	3488292	3595	-0.429185257757971	0.00439115845594683	1.08900729707481	0.0276384679286065
Skeletal Muscle Channelopathies	2	0.000929368	2	4304	2	0.0047857733	309	129196	309	-2.36443018271906	0.00539923434594282	1.33901011779382	0.0320954486119934
Skeletal muscle channelopathy	2	0.000929368	2	4304	2	0.0047857733	309	129196	309	-2.36443018271906	0.00539923434594282	1.33901011779382	0.0320954486119934
Pyruvate dehydrogenase (PDH) deficiency	23	0.001394484	3	49496	3	0.005498595	355	1485754	355	-1.97933164725198	0.00628171001072979	1.55786408266099	0.0362878556498972
Rare multisystem ciliopathy Super panel	191	0.187736822	404	411032	404	0.2151917454	13901	12338218	13893	-0.196911095469434	0.00644363791914063	1.59802220394688	0.0362878556498972
Respiratory ciliopathies including non-CF bronchiectasis	39	0.021377146	46	83928	46	0.031440217	2031	2519322	2030	-0.55654191915928	0.00744908212459877	1.8473723669005	0.0402557533836938
