Haplogroup	subclad	n
H	H6a1a	24
H	H1c	20
W	W6a	16
H	H	14
H	H11a1	14
T	T2b	12
V	V1a1	12
J	J1c2	11
H	H1	10
H	H1b2	10
J	J2a1a1a	10
T	T1a1	10
U	U5a1b1c1	10
V	V7a	10
H	H36	9
H	H5a1	9
H	H7a1	9
U	U5a2a1b	9
U	U5a2b	9
H	H1b5	8
H	H1c+152	8
H	H2a2a1	8
U	U4a2b	8
H	H11a2a2	7
H	H11b1	7
H	H1b1	7
U	U4a	7
W	W3a1	7
H	H+152	6
H	H11a	6
H	H28a	6
H	H3	6
K	K1c1	6
U	U2e1b1	6
U	U5b1e1	6
V	V18a	6
H	H13a1a1e	5
H	H1a	5
H	H1a1	5
H	H1b1a	5
H	H1c1	5
H	H1e1b1	5
H	H2a1	5
H	H5a1a	5
H	H6a1a6	5
H	H7c1	5
H	H8c	5
H	HV6	5
J	J1b1a1	5
J	J1c4	5
K	K1a1a2a1	5
T	T2a1a1	5
U	U4a1	5
U	U4c1	5
U	U5a2a1	5
W	W1+119	5
H	H1b	4
H	H2a1c	4
H	H2a5b	4
H	H5a1m	4
H	H73a1	4
H	H7b	4
H	H7c3	4
H	HV0+195	4
J	J1c2k	4
J	J1c3k	4
J	J1c4b	4
J	J1c5a	4
J	J2b1a6	4
K	K1c1e	4
N	N1a1a1a1	4
N	N1b1a3	4
U	U5b1b1	4
U	U5b1e1a	4
V	V	4
X	X2n	4
C	C5c1a	3
H	H10a	3
H	H13a1d	3
H	H16c	3
H	H18	3
H	H1ba	3
H	H1c22	3
H	H1c3	3
H	H1h1	3
H	H1u	3
H	H2b	3
H	H3h	3
H	H55	3
H	H5a2	3
H	H5e1a	3
H	H5e1a1	3
H	H6a1a4	3
H	H79	3
J	J1b1a1e	3
J	J1c10a	3
J	J1c2c2a	3
J	J1c2e1	3
J	J1c2f	3
J	J1c3	3
J	J1c3j	3
J	J1c7a	3
J	J1c8a	3
J	J2a1a1a2	3
J	J2b1	3
K	K1a+150	3
K	K1c1h	3
K	K2a2a1	3
T	T1a1b	3
T	T2a1b1	3
T	T2a1b1a1	3
T	T2b33	3
T	T2b4+152	3
T	T2b5	3
U	U2e2a1a	3
U	U2e2a1d	3
U	U3b1b	3
U	U4a3a	3
U	U5a1a1	3
U	U5a1b1	3
U	U5a1b2	3
U	U5a1c1	3
U	U5a1e	3
U	U5a2b1d	3
U	U5b1b1a	3
U	U5b2b4a	3
W	W1	3
W	W5	3
F	F2f	2
H	H1+16278	2
H	H10a1	2
H	H13a1a1	2
H	H16+152	2
H	H17a	2
H	H1a3	2
H	H1c17	2
H	H1c1a	2
H	H1c2	2
H	H1c20	2
H	H1e	2
H	H1e2	2
H	H1g1	2
H	H1n2	2
H	H20a	2
H	H2a	2
H	H2a2b	2
H	H3v+16093	2
H	H4a1a1a	2
H	H4a1a4b	2
H	H5+16311	2
H	H5+709	2
H	H5a1c1a	2
H	H5d	2
H	H60a	2
H	H6a1a5	2
