sample	average_depth	percentage_above_10	percentage_above_20	percentage_above_30
100_19965_20	36.92	91.71	90.83	83.84
101_19226_20	33.45	91.6	90.24	74.05
102_19843_20	35.33	91.67	90.63	79.97
103_19902_20	33.28	91.64	90.27	74.1
104_KG19964_20	33.52	91.67	90.36	75.19
107_18857_20	33.56	91.63	90.3	74.49
108_19328_20	31.35	91.53	89.54	65.58
109_KG19686_20	36.75	92.14	88.87	80.29
10_30_20	36.82	92.16	88.9	80.31
1120-COVID	37.01	92.22	88.89	79.95
113_19327_20	34.0	91.62	90.43	76.52
1156-COVID	35.84	91.65	90.69	81.03
1158-COVID	37.11	92.11	88.51	79.31
115_19954_20	33.3	92.02	87.66	72.94
11___19314_20	33.62	91.64	90.29	75.67
121_20131_20	30.73	91.53	89.23	63.2
123_19737_20	33.14	91.53	89.87	73.29
124_19331_20	32.71	91.56	90.0	72.14
125_1894428	33.51	92.0	87.7	73.43
126_20235_20	32.66	91.57	89.86	71.21
12_19264_20	32.12	91.97	87.09	68.94
131_COV84_20	36.07	92.14	88.66	79.24
132_20504_20	31.96	91.93	87.0	68.23
139_20234_20	33.47	92.02	87.76	73.58
13_49_20	36.12	92.16	88.74	79.28
142_18211_20	31.85	91.58	89.79	68.64
144_COV79_20	36.56	91.74	90.74	82.72
147_PorCOV_KOM	35.02	92.15	88.4	77.17
150_COV78_20	36.59	91.71	90.77	82.7
153_20475_20	32.49	91.94	87.32	70.46
154_20277_20	34.04	92.05	87.91	74.7
156_20461_20	32.23	91.61	89.97	70.88
158_18276_20	32.83	91.61	90.13	72.95
159_20482_20	33.11	91.62	90.03	73.5
15_3_20	35.81	92.16	88.63	78.8
160_20676_20	32.12	91.95	87.09	69.26
161_20493_20	32.83	91.99	87.36	70.91
162_20449_20	32.29	91.9	87.08	69.72
164_20429_20	32.94	91.99	87.41	71.54
167_20169_20	31.46	91.57	89.67	66.55
168_20473_20	32.05	91.94	87.0	68.97
16_28_20	35.35	92.13	88.43	77.78
171_20797_20	32.23	91.6	89.97	70.01
172_20935_20	37.6	91.68	90.77	84.64
175_COV_86_20	33.25	91.98	87.51	72.38
177-COVID	37.08	92.08	88.11	74.77
178_20931_20	31.48	91.88	86.71	66.38
17_20_20	34.44	92.1	88.11	75.68
180_20770_20	29.09	91.48	87.9	53.66
182_20690_20	33.77	92.03	87.73	72.87
186_20392_20	35.36	91.68	90.59	80.44
189_21110_20	33.05	91.59	90.07	73.46
18_19265_20	33.33	92.04	87.59	72.71
191_20480_20	32.8	91.98	87.33	70.94
193_20473_20	32.36	91.58	89.9	70.0
195_21126_20	32.11	91.59	89.9	69.87
198_21108_20	32.84	91.58	89.99	72.6
19_PorCOV_KOM	34.08	92.08	87.98	74.4
1_24_20	34.22	92.04	87.98	75.17
2041_COVID	35.29	92.13	88.36	77.23
204_20349_20	31.31	91.91	86.75	65.89
205_20228_20	32.29	91.94	87.13	69.57
20_52_20	33.76	92.05	87.87	73.88
20_PorCOV_KOM	36.05	91.74	90.69	81.4
213_KG21383_20	36.52	91.62	90.7	82.58
2150-COVID	36.45	92.16	88.88	80.3
2151-COVID	34.84	91.7	90.62	79.0
2153-COVID	39.89	92.18	89.2	81.39
219-COVID	38.04	91.75	90.84	82.69
220_21514_20	38.79	92.04	89.18	82.78
22_PorCOV_KOM	35.24	91.69	90.59	79.46
231_COV99_20	36.43	91.65	90.45	81.36
231_PorCOV_KOM	35.87	91.67	90.62	81.03
241_21875_20	34.08	91.64	90.35	76.62
243_21948_20	31.26	91.89	86.57	65.01
244_21811_20	36.18	91.7	90.63	81.5
247_22426_20	32.82	91.96	87.21	69.89
248_22436_20	37.79	92.24	89.26	81.54
249_22431_20	38.27	92.18	89.28	82.01
24_PorCOV	33.83	91.64	90.34	75.68
250_22455_20	38.83	92.23	89.57	82.93
251_22415_20	38.23	91.73	90.87	85.49
254_22408_20	41.06	91.77	91.06	88.1
25_19262_20	33.15	92.02	87.5	72.19
261_22289_20	35.9	92.14	88.49	78.0
262_22542_20	41.76	92.34	90.02	84.57
263_22544_20	36.27	91.69	90.59	81.79
264_22543_20	40.37	91.79	91.02	87.5
265_22549_20	36.38	92.16	88.85	79.68
267_22550_20	41.4	92.33	90.18	84.73
274_23049_20	37.53	92.21	89.22	81.39
275_23058_20	36.28	92.17	88.79	80.18
276_23037_20	38.75	92.27	89.53	82.99
277_23052_20	37.35	92.19	89.07	81.24
278_23061_20	38.73	92.24	89.5	82.81
279_23040_20	37.55	92.21	89.12	81.1
27_37_20	34.83	92.05	88.19	76.68
27_PorCOV	34.89	91.65	90.62	79.37
280_22594_20	38.14	92.18	89.3	82.14
281_22812_20	37.24	92.18	89.07	80.96
282_23044_20	39.29	92.23	89.57	83.55
283_22979_20	32.65	91.61	90.25	72.18
284_23111_20	32.93	91.6	90.19	72.82
285_23034_20	32.46	91.94	87.32	69.89
28_26_20	34.32	92.07	88.0	75.11
290_23183_20	36.06	91.71	90.62	79.31
293_23182_20	39.09	92.23	89.59	83.29
296_23072_20	36.39	92.16	88.82	78.91
297_23126_20	32.67	91.6	90.23	71.89
29_22_20	34.41	92.07	88.06	75.73
2_9_20	36.97	92.18	88.99	80.95
