Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
100_19965_20	904650047	0	0	0	5577793	0	88474609	0	902645404	0	99.78	nan	899072254	0	449536127	0	449536127	0	876621696	0	97.5	nan	895441728	0	1625883	0	0.18	nan	13226574	0	6924735	0	904650047
101_19226_20	782294735	0	0	0	4372641	0	48039280	0	780501523	0	99.77	nan	777922094	0	388961047	0	388961047	0	759852362	0	97.68	nan	774763908	0	1364974	0	0.18	nan	9815852	0	4963927	0	782294735
102_19843_20	872427013	0	0	0	4958329	0	92755441	0	869778867	0	99.7	nan	867468684	0	433734342	0	433734342	0	844172442	0	97.31	nan	862522876	0	2297662	0	0.26	nan	13432544	0	7271151	0	872427013
103_19902_20	780294044	0	0	0	4110384	0	50284138	0	778641685	0	99.79	nan	776183660	0	388091830	0	388091830	0	759109068	0	97.8	nan	773293526	0	1237775	0	0.16	nan	8822866	0	4295145	0	780294044
104_KG19964_20	784782047	0	0	0	4146987	0	47675412	0	782781950	0	99.75	nan	780635060	0	390317530	0	390317530	0	763061816	0	97.75	nan	777065248	0	1569715	0	0.2	nan	8962248	0	4303877	0	784782047
107_18857_20	791573194	0	0	0	4554886	0	53907000	0	789958912	0	99.8	nan	787018308	0	393509154	0	393509154	0	769351624	0	97.76	nan	784216602	0	1187424	0	0.15	nan	9600104	0	4694474	0	791573194
108_19328_20	738484155	0	0	0	4176325	0	50595342	0	736935645	0	99.79	nan	734307830	0	367153915	0	367153915	0	717681568	0	97.74	nan	731531500	0	1227820	0	0.17	nan	9215408	0	4567616	0	738484155
109_KG19686_20	869821684	0	0	0	5574950	0	53157838	0	865702423	0	99.53	nan	864246734	0	432123367	0	432123367	0	837184958	0	96.87	nan	856551652	0	3575821	0	0.41	nan	14027820	0	7482379	0	869821684
10_30_20	890164170	0	0	0	5748684	0	69188194	0	884505720	0	99.36	nan	884415486	0	442207743	0	442207743	0	842302902	0	95.24	nan	873556160	0	5200876	0	0.59	nan	24233594	0	14738888	0	890164170
1120-COVID	907823514	0	0	0	4702514	0	88407984	0	905396360	0	99.73	nan	903121000	0	451560500	0	451560500	0	882475442	0	97.71	nan	898752704	0	1941142	0	0.21	nan	10562134	0	5281003	0	907823514
113_19327_20	793074876	0	0	0	4821308	0	45621507	0	791130707	0	99.75	nan	788253568	0	394126784	0	394126784	0	768279206	0	97.47	nan	784803756	0	1505643	0	0.19	nan	10852816	0	5444478	0	793074876
1156-COVID	891536724	0	0	0	5101840	0	101533372	0	889473773	0	99.77	nan	886434884	0	443217442	0	443217442	0	863033166	0	97.36	nan	882596060	0	1775873	0	0.2	nan	13485434	0	7637763	0	891536724
1158-COVID	912621020	0	0	0	4926474	0	90016683	0	910435974	0	99.76	nan	907694546	0	453847273	0	453847273	0	887867576	0	97.82	nan	903744566	0	1764934	0	0.19	nan	10379594	0	5147509	0	912621020
115_19954_20	781711072	0	0	0	4405500	0	46213237	0	779699003	0	99.74	nan	777305572	0	388652786	0	388652786	0	758321652	0	97.56	nan	773761022	0	1532481	0	0.2	nan	9931478	0	4881247	0	781711072
11___19314_20	786632657	0	0	0	4366883	0	46882813	0	784298041	0	99.7	nan	782265774	0	391132887	0	391132887	0	764450178	0	97.72	nan	778320388	0	1610770	0	0.21	nan	9136646	0	4482023	0	786632657
121_20131_20	742800688	0	0	0	3940784	0	65523192	0	740052617	0	99.63	nan	738859904	0	369429952	0	369429952	0	718335838	0	97.22	nan	734027790	0	2084043	0	0.28	nan	10561510	0	5619805	0	742800688
123_19737_20	792835256	0	0	0	3878224	0	67540165	0	789505750	0	99.58	nan	788957032	0	394478516	0	394478516	0	767149206	0	97.24	nan	783002924	0	2624602	0	0.33	nan	11478586	0	6287879	0	792835256
124_19331_20	780922243	0	0	0	4883827	0	61645839	0	778110801	0	99.64	nan	776038416	0	388019208	0	388019208	0	754208086	0	97.19	nan	771275920	0	1951054	0	0.25	nan	11944850	0	6082544	0	780922243
125_1894428	787810111	0	0	0	5501093	0	44459621	0	785211866	0	99.67	nan	782309018	0	391154509	0	391154509	0	758302462	0	96.93	nan	777605020	0	2105753	0	0.27	nan	13912744	0	8360469	0	787810111
126_20235_20	782089938	0	0	0	4172458	0	62789220	0	778693068	0	99.57	nan	777917480	0	388958740	0	388958740	0	755282470	0	97.09	nan	771910724	0	2609886	0	0.34	nan	11876834	0	6298859	0	782089938
12_19264_20	773254460	0	0	0	4435708	0	61708444	0	770150252	0	99.6	nan	768818752	0	384409376	0	384409376	0	748235682	0	97.32	nan	763680222	0	2034322	0	0.26	nan	10430258	0	5151310	0	773254460
131_COV84_20	861242111	0	0	0	5578287	0	59493237	0	857516934	0	99.57	nan	855663824	0	427831912	0	427831912	0	828785842	0	96.86	nan	848768438	0	3170209	0	0.37	nan	14381394	0	7783879	0	861242111
132_20504_20	763908296	0	0	0	3845392	0	60155292	0	761381923	0	99.67	nan	760062904	0	380031452	0	380031452	0	741689670	0	97.58	nan	755886110	0	1650421	0	0.22	nan	9365532	0	4822121	0	763908296
139_20234_20	801648311	0	0	0	4020965	0	62571827	0	798221868	0	99.57	nan	797627346	0	398813673	0	398813673	0	775112044	0	97.18	nan	791631084	0	2569819	0	0.32	nan	11462314	0	6056922	0	801648311
13_49_20	872254011	0	0	0	5701189	0	66310709	0	867067580	0	99.41	nan	866552822	0	433276411	0	433276411	0	829073272	0	95.67	nan	856602038	0	4764353	0	0.55	nan	21603742	0	12719134	0	872254011
142_18211_20	757404536	0	0	0	4007122	0	55884001	0	754806659	0	99.66	nan	753397414	0	376698707	0	376698707	0	733442400	0	97.35	nan	748802684	0	1996853	0	0.27	nan	10299896	0	5287086	0	757404536
144_COV79_20	863374458	0	0	0	5937802	0	51879877	0	859470960	0	99.55	nan	857436656	0	428718328	0	428718328	0	829981134	0	96.8	nan	850026316	0	3506842	0	0.41	nan	14445794	0	7721983	0	863374458
147_PorCOV_KOM	833851413	0	0	0	4519117	0	58325820	0	831894601	0	99.77	nan	829332296	0	414666148	0	414666148	0	809904536	0	97.66	nan	825830340	0	1545144	0	0.19	nan	10532450	0	5721014	0	833851413
150_COV78_20	861852140	0	0	0	5401102	0	54809209	0	859178744	0	99.69	nan	856451038	0	428225519	0	428225519	0	834871616	0	97.48	nan	851522652	0	2254990	0	0.26	nan	11353434	0	5965541	0	861852140
