Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_P-value	diff	greater_AF_in
CBS	0.00706357	15	2152	0.0002146807	14	64598	0.0	5.04013311806489	2.0405555240711145e-15	CBS	2.21	2.2100000381469727	2.21	5.25	5.25	5.25	0.0	0.0	0.0	LOW_DP	14.690251583458894	0.0	0.0068488893	PL
CADM3	0.0	0	2152	0.0160261	1035	64598	1.46034977773e-05	0.0	2.387286046531571e-15	CADM3	35.04	35.040000915527344	35.04	99.39	99.38999938964844	99.39	95.09	95.08999633789062	95.09	PASS	14.62209554036176	4.835543111102875	-0.0160261	NFE
C2	0.0251163	54	2152	0.00755816	488	64598	9.7e-15	1.7325169850114	4.036504605769841e-13	C2	35.22	35.220001220703125	35.22	100.0	100.0	100.0	98.32	98.31999969482422	98.32	PASS	12.393994547637572	14.013228265733755	0.01755814	PL
TGM5	0.017193284	37	2152	0.0040888476	264	64598	8.4e-15	2.07207893615023	4.527951612905009e-12	TGM5	35.16	35.15999984741211	35.16	100.0	100.0	100.0	100.0	100.0	100.0	PASS	11.34409822280049	14.075720713938118	0.013104436399999999	PL
NUP93	0.00697026	15	2152	0.0007433861	48	64598	1.5e-15	3.22902885381863	1.1440874471104508e-09	NUP93	35.05	35.04999923706055	35.05	100.0	100.0	100.0	100.0	100.0	100.0	PASS	8.94154077943627	14.823908740944319	0.0062268739	PL
F10	0.006505576	14	2152	0.000852242	55	64598	3.65257e-11	2.93234174104111	3.684671170672152e-08	F10	43.69	43.68999862670898	43.69	100.0	100.0	100.0	100.0	100.0	100.0	PASS	7.433601263608102	10.437401452238998	0.0056533339999999994	PL
MASP1	0.00557621	12	2152	0.0005730213	37	64598	2.4242e-12	3.28262422203089	3.7286906857266824e-08	MASP1	37.84	37.84000015258789	37.84	100.0	100.0	100.0	100.0	100.0	100.0	PASS	7.428443642129106	11.615431553105878	0.005003188699999999	PL
C19orf12	0.004203458	9	2152	0.000247866	16	64598	6.8e-15	4.08394436374618	4.736222394267618e-08	C19orf12	35.81	35.810001373291016	35.81	100.0	100.0	100.0	100.0	100.0	100.0	PASS	7.324567913055495	14.167491087293763	0.003955592	PL
HTT	0.00236742	5	2152	0.0133872851	865	64598	0.0305826182081014	-2.49947583624216	1.7902743741222124e-07	HTT	38.4	38.400001525878906	38.4	100.0	100.0	100.0	99.45	99.4499969482422	99.45	PASS	6.747080404754335	1.514525336953243	-0.0110198651	NFE
SORD	0.005111528	11	2152	0.000541947	35	64598	1.183649e-10	3.23753094910215	1.7974298572806682e-07	SORD	31.82	31.81999969482422	31.82	100.0	100.0	100.0	87.84	87.83999633789062	87.84	LOW_DP	6.745348048477947	9.926777064473614	0.004569581	PL
AC243547.3	0.0	0	2152	0.00743448	480	64598	0.215746597131507	0.0	3.2049427672606037e-07											PASS	6.494179721553849	0.666056045479097	-0.00743448	NFE
OTOG	0.007434944	16	2152	0.0015798706	102	64598	2.4700933316e-06	2.23451547727313	1.349826124100071e-06	OTOG	39.33	39.33000183105469	39.33	100.0	100.0	100.0	100.0	100.0	100.0	PASS	5.869722170917762	5.607286636767425	0.0058550734	PL
GP6	0.00836431	18	2152	0.0019975296	129	64598	5.8233967405e-06	2.06602965081235	1.384489518722262e-06	GP6	36.98	36.97999954223633	36.98	100.0	100.0	100.0	100.0	100.0	100.0	PASS	5.858710327732285	5.2348236209618015	0.0063667804	PL
PIGV	0.004182158	9	2152	0.0004646057	30	64598	1.115655796e-07	3.17016880828485	3.267898092340186e-06	PIGV	42.32	42.31999969482422	42.32	100.0	100.0	100.0	100.0	100.0	100.0	PASS	5.485731495170342	6.952469773996377	0.0037175523	PL
ALOX12B	0.00511153	11	2152	0.0009913307	64	64598	0.0002686433549426	2.36631687368346	2.8036080208299235e-05	ALOX12B	41.5	41.5	41.5	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.552282706215532	3.5708238975015885	0.0041201993	PL
TYW1	0.0	0	2152	0.0049593848	320	64598	3.73482317917436	0.0	4.60192316121333e-05	TYW1	35.41	35.40999984741211	35.41	100.0	100.0	100.0	99.82	99.81999969482422	99.82	PASS	4.337060637066689	-0.5722700454749374	-0.0049593848	NFE
TIMM9	0.0	0	2152	0.00501688	324	64598	3.4743786057029	0.0	4.713788978872171e-05	TIMM9	36.69	36.68999862670898	36.69	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.32662986333963	-0.5408771420927803	-0.00501688	NFE
XPA	0.003252784	7	2152	0.0003717554	24	64598	4.62622929866e-05	3.12924942022386	4.773284067349169e-05	XPA	40.8	40.79999923706055	40.8	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.321182719161684	4.334772845263024	0.0028810286	PL
C8B	0.007900056	17	2152	0.0024491506	158	64598	0.0072522510709503	1.68958139098612	5.746447746954252e-05	C8B	33.98	33.97999954223633	33.98	100.0	100.0	100.0	99.68	99.68000030517578	99.68	PASS	4.240600538028083	2.13952716915998	0.005450905400000001	PL
SLC26A3	0.003252784	7	2152	0.0003872799	25	64598	9.17097215511e-05	3.07022649198887	5.939942722643121e-05	SLC26A3	37.02	37.02000045776367	37.02	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.226217742789844	4.037584625156412	0.0028655041	PL
SBF2	0.00185874	4	2152	6.19819e-05	4	64598	1.765193671e-07	4.90633419025553	6.796021217808728e-05	SBF2	37.13	37.130001068115234	37.13	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.167745273893212	6.753207638359846	0.0017967581	PL
ABCB11	0.003253218	7	2152	0.0004028471	26	64598	0.0001743769085263	3.01356322637774	7.329666161314696e-05	ABCB11	34.73	34.72999954223633	34.73	100.0	100.0	100.0	99.85	99.8499984741211	99.85	PASS	4.1349158053862345	3.7585110260753467	0.0028503709	PL
HPGD	0.002788104	6	2152	0.0002788313	18	64598	9.68352524172e-05	3.32181995259324	9.101230893320202e-05	HPGD	38.13	38.130001068115234	38.13	100.0	100.0	100.0	100.0	100.0	100.0	PASS	4.040899867676021	4.013966511047273	0.0025092727	PL
OBSL1	0.00325279	7	2152	0.0004336632	28	64598	0.0005642636703273	2.9070307564485	0.0001090564103383547	OBSL1	43.29	43.290000915527344	43.29	100.0	100.0	100.0	100.0	100.0	100.0	PASS	3.962348801495167	3.2485179105385567	0.0028191268	PL
WDR35	0.00371747	8	2152	0.0006041083	39	64598	0.0015939901545963	2.6214419863859	0.00011805822803209707	WDR35	38.19	38.18999862670898	38.19	100.0	100.0	100.0	99.61	99.61000061035156	99.61	PASS	3.9279037395093486	2.797514365385141	0.0031133617	PL
PROP1	0.00371747	8	2152	0.000619838	40	64598	0.0023692857356848	2.5843579906664	0.00013768597968133198	PROP1	30.83	30.82999992370605	30.83	100.0	100.0	100.0	93.92	93.91999816894533	93.92	PASS	3.861110280927062	2.6253825602362633	0.003097632	PL
