Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	fisher_p_corr	fisher_q	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_fisher_p_corr	pscaled_P-value	diff	greater_AF_in
CBS	0.00706357	15	2152	0.0002146807	14	64598	0.0	5.04013311806489	2.0405555240711145e-15	3.830122718681482e-12	2.9399427663036298e-12	CBS	2.21	2.2100000381469727	2.21	5.25	5.25	5.25	0.0	0.0	0.0	LOW_DP	14.690251583458894	11.416787310837547	0.0	0.0068488893	PL
ACKR1	0.0	0	2152	0.0160261	1035	64598	1.39282344146e-05	0.0	2.387286046531571e-15	4.4809359093397595e-12	2.9399427663036298e-12	ACKR1	39.71	39.709999084472656	39.71	100.0	100.0	100.0	100.0	100.0	100.0	PASS	14.62209554036176	11.348631267740414	4.85610393257779	-0.0160261	NFE
C2	0.0251163	54	2152	0.00755816	488	64598	9.3e-15	1.7325169850114	4.036504605769841e-13	7.576519145029992e-10	3.3139702813370395e-10	C2	35.22	35.220001220703125	35.22	100.0	100.0	100.0	98.32	98.31999969482422	98.32	PASS	12.393994547637572	9.120530275016227	14.031517051446064	0.01755814	PL
TGM5	0.017193284	37	2152	0.0040888476	264	64598	8e-15	2.07207893615023	4.527951612905009e-12	8.498965177422702e-09	2.7880862056462592e-09	TGM5	35.16	35.15999984741211	35.16	100.0	100.0	100.0	100.0	100.0	100.0	PASS	11.34409822280049	8.070633950179143	14.096910013008056	0.013104436399999999	PL
NUP93	0.00697026	15	2152	0.0007433861	48	64598	1.4e-15	3.22902885381863	1.1440874471104508e-09	2.147452138226316e-06	5.635774764466081e-07	NUP93	35.05	35.04999923706055	35.05	100.0	100.0	100.0	100.0	100.0	100.0	PASS	8.94154077943627	5.668076506814923	14.853871964321762	0.0062268739	PL
MASP1	0.00557621	12	2152	0.0005730213	37	64598	2.3121e-12	3.28262422203089	3.7286906857266824e-08	6.998752417108983e-05	1.530627526490803e-05	MASP1	37.84	37.84000015258789	37.84	100.0	100.0	100.0	100.0	100.0	100.0	PASS	7.428443642129106	4.15497936950776	11.635993386294329	0.005003188699999999	PL
C19orf12	0.004203458	9	2152	0.000247866	16	64598	6.5e-15	4.08394436374618	4.736222394267618e-08	8.88988943404032e-05	1.6664736795830204e-05	C19orf12	35.81	35.810001373291016	35.81	100.0	100.0	100.0	100.0	100.0	100.0	PASS	7.324567913055495	4.051103640434149	14.187086643357144	0.003955592	PL
HTT	0.00236742	5	2152	0.0133872851	865	64598	0.0291684829149423	-2.49947583624216	1.7902743741222124e-07	0.0003360345000227393	4.918966376091429e-05	HTT	38.4	38.400001525878906	38.4	100.0	100.0	100.0	99.45	99.4499969482422	99.45	PASS	6.747080404754335	3.473616132132989	1.5350861584272184	-0.0110198651	NFE
SORD	0.005111528	11	2152	0.000541947	35	64598	1.128917e-10	3.23753094910215	1.7974298572806682e-07	0.00033737758421158143	4.918966376091429e-05	SORD	31.82	31.81999969482422	31.82	100.0	100.0	100.0	87.84	87.83999633789062	87.84	LOW_DP	6.745348048477947	3.4718837758566004	9.947337987009545	0.004569581	PL
RBM8A	0.0	0	2152	0.00743448	480	64598	0.205770509560894	0.0	3.2049427672606037e-07	0.0006015677574148153	7.893774035762867e-05	RBM8A	33.33	33.33000183105469	33.33	100.0	100.0	100.0	96.45	96.4499969482422	96.45	PASS	6.494179721553849	3.220715448932503	0.6866168669530727	-0.00743448	NFE
