Symbol	POL_number_unique_variants	POL_SNP_cum_AF	POL_SNP_cum_AC	POL_SNP_cum_AN	gnomAD_NFE_number_unique_variants	gnomAD_NFE_SNP_cum_AF	gnomAD_NFE_SNP_cum_AN	gnomAD_NFE_SNP_cum_AC	cum_AF_fold_change	fisher_p	fisher_p_corr	fisher_q
AAAS	1	0.000464684	1	2152	12	0.0007278439	64598	47	-0.647379099317338	1	1877	1
AARS1	0	0	0	2152	1	0.0000154895	64598	1	-Inf	1	1877	1
AASS	0	0	0	2152	2	0.0001238995	64598	8	-Inf	1	1877	1
ABAT	0	0	0	2152	2	0.0000309746	64598	2	-Inf	1	1877	1
ABCA1	1	0.00139405	3	2152	6	0.0007636902	64598	49	0.868222891202967	0.235107328065116	441.296454778223	1
ABCA12	0	0	0	2152	8	0.0002014595	64598	13	-Inf	1	1877	1
ABCA3	1	0.00232342	5	2152	7	0.0051104809	64598	330	-1.13720908538543	0.08525264201564	160.019209063356	1
ABCA4	11	0.008364746	18	2152	106	0.0083362491	64598	539	0.00492334450295424	0.90444434911065	1697.64204328069	1
ABCA5	0	0	0	2152	1	0.000015489	64598	1	-Inf	1	1877	1
ABCB11	5	0.003253218	7	2152	12	0.0004028471	64598	26	3.01356322637774	0.000073296661628005	0.137577833875765	0.00625353790344388
ABCB4	0	0	0	2152	12	0.0003410763	64598	22	-Inf	1	1877	1
ABCC2	2	0.001394052	3	2152	17	0.0015795192	64598	102	-0.180201097351557	1	1877	1
ABCC6	5	0.004646836	10	2152	61	0.005064899	64598	327	-0.124284771335483	1	1877	1
ABCD4	0	0	0	2152	4	0.0001084026	64598	7	-Inf	1	1877	1
ABCG8	2	0.000929368	2	2152	8	0.001486485	64598	96	-0.677583029260727	0.773257585937407	1451.40448880451	1
ABHD12	0	0	0	2152	3	0.0000619579	64598	4	-Inf	1	1877	1
ABHD5	0	0	0	2152	3	0.0000619867	64598	4	-Inf	1	1877	1
ACACA	1	0.0107577	23	2152	1	0.00726212	64598	469	0.566906987476328	0.0722265377577211	135.569211371243	0.999454467325498
ACAD8	0	0	0	2152	1	0.0000774329	64598	5	-Inf	1	1877	1
ACAD9	0	0	0	2152	14	0.0005884467	64598	38	-Inf	0.635514997973828	1192.86165119688	1
ACADM	5	0.00232342	5	2152	25	0.0021063801	64598	136	0.141484174109181	0.808505040298464	1517.56396064022	1
ACADS	0	0	0	2152	8	0.0002943066	64598	19	-Inf	1	1877	1
ACADSB	0	0	0	2152	3	0.0000619641	64598	4	-Inf	1	1877	1
ACADVL	0	0	0	2152	34	0.0030364815	64598	196	-Inf	0.00346122830663372	6.4967255315515	0.13534844857399
ACAN	0	0	0	2152	1	0.0000154837	64598	1	-Inf	1	1877	1
ACAT1	0	0	0	2152	15	0.000340731	64598	22	-Inf	1	1877	1
ACBD5	0	0	0	2152	1	0.0000774689	64598	5	-Inf	1	1877	1
ACD	0	0	0	2152	1	0.0000154866	64598	1	-Inf	1	1877	1
ACE	0	0	0	2152	10	0.00077501	64598	50	-Inf	0.412156175557398	773.617141521236	1
ACKR1	0	0	0	2152	1	0.0160261	64598	1035	-Inf	0.00000000000000238728604645752	0.00000000000448093590920076	0.00000000000224046795460038
ACO2	0	0	0	2152	3	0.0000464823	64598	3	-Inf	1	1877	1
ACOX1	0	0	0	2152	3	0.0000619603	64598	4	-Inf	1	1877	1
ACOX2	0	0	0	2152	1	0.0000929109	64598	6	-Inf	1	1877	1
