symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)
SNORD115-48	38.53	38.529998779296875	38.53	100.0	100.0	100.0	100.0	100.0	100.0
PMS2P2	3.9	3.9000000953674316	3.9	21.91	21.90999984741211	21.91	0.0	0.0	0.0
TSG1	36.57	36.56999969482422	36.57	100.0	100.0	100.0	99.92	99.91999816894531	99.92
DARS2	35.31	35.310001373291016	35.31	100.0	100.0	100.0	99.94	99.94000244140625	99.94
UBE2W	35.02	35.02000045776367	35.02	100.0	100.0	100.0	99.87	99.87000274658203	99.87
LOC101929066	34.35	34.349998474121094	34.35	100.0	100.0	100.0	99.78	99.77999877929688	99.78
LOC101929415	36.1	36.099998474121094	36.1	100.0	100.0	100.0	99.96	99.95999908447266	99.96
LINC02541	33.66	33.65999984741211	33.66	100.0	100.0	100.0	100.0	100.0	100.0
LOC102724450	40.73	40.72999954223633	40.73	100.0	100.0	100.0	100.0	100.0	100.0
LINC02293	34.98	34.97999954223633	34.98	100.0	100.0	100.0	99.84	99.83999633789062	99.84
LOC101928358	17.22	17.219999313354492	17.22	91.77	91.7699966430664	91.77	36.87	36.869998931884766	36.87
MIR381HG	40.99	40.9900016784668	40.99	100.0	100.0	100.0	100.0	100.0	100.0
MIR6726	51.92	51.91999816894531	51.92	100.0	100.0	100.0	100.0	100.0	100.0
CXCR1	40.8	40.79999923706055	40.8	100.0	100.0	100.0	100.0	100.0	100.0
SNORD14B	41.62	41.619998931884766	41.62	100.0	100.0	100.0	100.0	100.0	100.0
RFXANK	41.82	41.81999969482422	41.82	100.0	100.0	100.0	100.0	100.0	100.0
RNASET2	46.58	46.58000183105469	46.58	100.0	100.0	100.0	100.0	100.0	100.0
ALDH4A1	43.51	43.5099983215332	43.51	100.0	100.0	100.0	98.61	98.61000061035156	98.61
FGF11	32.05	32.04999923706055	32.05	100.0	100.0	100.0	98.43	98.43000030517578	98.43
RAB1A	38.45	38.45000076293945	38.45	100.0	100.0	100.0	100.0	100.0	100.0
ZGPAT	47.09	47.09000015258789	47.09	100.0	100.0	100.0	100.0	100.0	100.0
