NM_000014.6	A2M
NM_000015.3	NAT2
NM_000016.6	ACADM
NM_000017.4	ACADS
NM_000018.4	ACADVL
NM_000019.4	ACAT1
NM_000020.3	ACVRL1
NM_000021.4	PSEN1
NM_000022.4	ADA
NM_000023.4	SGCA
NM_000024.6	ADRB2
NM_000025.3	ADRB3
NM_000026.4	ADSL
NM_000027.4	AGA
NM_000030.3	AGXT
NM_000031.6	ALAD
NM_000032.5	ALAS2
NM_000033.4	ABCD1
NM_000035.4	ALDOB
NM_000036.3	AMPD1
NM_000037.4	ANK1
NM_000038.6	APC
NM_000039.3	APOA1
NM_000040.3	APOC3
NM_000041.4	APOE
NM_000042.3	APOH
NM_000043.6	FAS
NM_000044.6	AR
NM_000045.4	ARG1
NM_000046.5	ARSB
NM_000047.3	ARSL
NM_000048.4	ASL
NM_000049.4	ASPA
NM_000051.4	ATM
NM_000052.7	ATP7A
NM_000053.4	ATP7B
NM_000054.7	AVPR2
NM_000055.4	BCHE
NM_000057.4	BLM
NM_000059.4	BRCA2
NM_000061.3	BTK
NM_000062.3	SERPING1
NM_000063.6	C2
NM_000064.4	C3
NM_000065.5	C6
NM_000066.4	C8B
NM_000067.3	CA2
NM_000069.3	CACNA1S
NM_000070.3	CAPN3
NM_000071.3	CBS
NM_000073.3	CD3G
NM_000074.3	CD40LG
NM_000075.4	CDK4
NM_000077.5	CDKN2A
NM_000078.3	CETP
NM_000079.4	CHRNA1
NM_000080.4	CHRNE
NM_000081.4	LYST
NM_000082.4	ERCC8
NM_000083.3	CLCN1
NM_000085.5	CLCNKB
NM_000088.4	COL1A1
NM_000089.4	COL1A2
NM_000090.4	COL3A1
NM_000091.5	COL4A3
NM_000092.5	COL4A4
NM_000093.5	COL5A1
NM_000094.4	COL7A1
NM_000095.3	COMP
NM_000096.4	CP
NM_000097.7	CPOX
NM_000098.3	CPT2
NM_000099.4	CST3
NM_000100.4	CSTB
NM_000101.4	CYBA
NM_000102.4	CYP17A1
NM_000103.4	CYP19A1
NM_000104.4	CYP1B1
NM_000106.6	CYP2D6
NM_000107.3	DDB2
NM_000108.5	DLD
NM_000110.4	DPYD
NM_000111.3	SLC26A3
NM_000112.4	SLC26A2
NM_000113.3	TOR1A
NM_000116.5	TAFAZZIN
NM_000117.3	EMD
NM_000121.4	EPOR
NM_000122.2	ERCC3
NM_000123.4	ERCC5
NM_000124.4	ERCC6
NM_000125.4	ESR1
NM_000126.4	ETFA
NM_000127.3	EXT1
NM_000128.4	F11
NM_000129.4	F13A1
NM_000130.5	F5
NM_000132.4	F8
NM_000133.4	F9
NM_000134.4	FABP2
NM_000135.4	FANCA
NM_000136.3	FANCC
NM_000137.4	FAH
NM_000138.5	FBN1
NM_000139.5	MS4A2
NM_000140.5	FECH
NM_000141.5	FGFR2
NM_000142.5	FGFR3
NM_000143.4	FH
NM_000144.5	FXN
NM_000145.4	FSHR
NM_000146.4	FTL
NM_000147.5	FUCA1
NM_000150.4	FUT6
NM_000151.4	G6PC1
NM_000152.5	GAA
NM_000153.4	GALC
NM_000154.2	GALK1
NM_000155.4	GALT
NM_000156.6	GAMT
NM_000157.4	GBA
NM_000158.4	GBE1
NM_000159.4	GCDH
NM_000160.5	GCGR
NM_000161.3	GCH1
NM_000162.5	GCK
NM_000163.5	GHR
NM_000164.4	GIPR
NM_000165.5	GJA1
NM_000166.6	GJB1
NM_000168.6	GLI3
NM_000169.3	GLA
NM_000170.3	GLDC
NM_000171.4	GLRA1
NM_000173.7	GP1BA
NM_000174.5	GP9
NM_000175.5	GPI
NM_000176.3	NR3C1
NM_000178.4	GSS
NM_000179.3	MSH6
NM_000180.4	GUCY2D
NM_000181.4	GUSB
NM_000182.5	HADHA
NM_000183.3	HADHB
NM_000184.3	HBG2
NM_000185.4	SERPIND1
NM_000186.4	CFH
NM_000187.4	HGD
NM_000188.3	HK1
NM_000189.5	HK2
NM_000190.4	HMBS
NM_000191.3	HMGCL
NM_000193.4	SHH
NM_000194.3	HPRT1
NM_000195.5	HPS1
NM_000196.4	HSD11B2
NM_000197.2	HSD17B3
NM_000198.4	HSD3B2
NM_000199.5	SGSH
NM_000200.3	HTN3
NM_000201.3	ICAM1
NM_000202.8	IDS
NM_000203.5	IDUA
NM_000204.5	CFI
NM_000206.3	IL2RG
NM_000207.3	INS
NM_000208.4	INSR
NM_000209.4	PDX1
NM_000210.4	ITGA6
NM_000211.5	ITGB2
NM_000212.3	ITGB3
NM_000213.5	ITGB4
NM_000214.3	JAG1
NM_000215.4	JAK3
NM_000216.4	ANOS1
NM_000217.3	KCNA1
NM_000218.3	KCNQ1
NM_000219.6	KCNE1
NM_000222.3	KIT
NM_000223.4	KRT12
NM_000224.3	KRT18
NM_000226.4	KRT9
NM_000228.3	LAMB3
NM_000229.2	LCAT
NM_000230.3	LEP
NM_000231.3	SGCG
NM_000232.5	SGCB
NM_000233.4	LHCGR
NM_000234.3	LIG1
NM_000235.4	LIPA
NM_000236.3	LIPC
NM_000237.3	LPL
NM_000238.4	KCNH2
NM_000239.3	LYZ
NM_000240.4	MAOA
NM_000243.3	MEFV
NM_000245.4	MET
NM_000246.4	CIITA
NM_000249.4	MLH1
NM_000250.2	MPO
NM_000251.3	MSH2
NM_000252.3	MTM1
NM_000254.3	MTR
NM_000255.4	MMUT
NM_000256.3	MYBPC3
NM_000257.4	MYH7
NM_000258.3	MYL3
NM_000260.4	MYO7A
NM_000261.2	MYOC
NM_000262.3	NAGA
NM_000263.4	NAGLU
NM_000264.5	PTCH1
NM_000265.7	NCF1
NM_000266.4	NDP
NM_000268.4	NF2
NM_000269.3	NME1
NM_000270.4	PNP
NM_000271.5	NPC1
NM_000273.3	GPR143
NM_000274.4	OAT
NM_000275.3	OCA2
NM_000276.4	OCRL
NM_000277.3	PAH
NM_000278.5	PAX2
NM_000281.4	PCBD1
NM_000282.4	PCCA
NM_000283.4	PDE6B
NM_000284.4	PDHA1
NM_000285.4	PEPD
NM_000286.3	PEX12
NM_000287.4	PEX6
NM_000288.4	PEX7
NM_000289.6	PFKM
NM_000290.4	PGAM2
NM_000291.4	PGK1
NM_000292.3	PHKA2
NM_000293.3	PHKB
NM_000294.3	PHKG2
NM_000295.5	SERPINA1
NM_000297.4	PKD2
NM_000298.6	PKLR
NM_000301.5	PLG
NM_000302.4	PLOD1
NM_000303.3	PMM2
NM_000304.4	PMP22
NM_000305.3	PON2
NM_000306.4	POU1F1
NM_000307.5	POU3F4
NM_000308.4	CTSA
NM_000310.4	PPT1
NM_000311.5	PRNP
NM_000312.4	PROC
NM_000313.4	PROS1
NM_000314.8	PTEN
NM_000315.4	PTH
NM_000316.3	PTH1R
NM_000317.3	PTS
NM_000318.3	PEX2
NM_000320.3	QDPR
NM_000321.3	RB1
NM_000322.5	PRPH2
NM_000324.3	RHAG
NM_000325.6	PITX2
NM_000326.5	RLBP1
NM_000327.4	ROM1
NM_000328.3	RPGR
NM_000329.3	RPE65
NM_000330.4	RS1
NM_000334.4	SCN4A
NM_000335.5	SCN5A
NM_000336.3	SCNN1B
NM_000337.6	SGCD
NM_000338.3	SLC12A1
NM_000340.2	SLC2A2
NM_000341.4	SLC3A1
NM_000342.4	SLC4A1
NM_000343.4	SLC5A1
NM_000344.4	SMN1
NM_000345.4	SNCA
NM_000346.4	SOX9
NM_000348.4	SRD5A2
NM_000349.3	STAR
NM_000350.3	ABCA4
NM_000352.6	ABCC8
NM_000353.3	TAT
NM_000354.6	SERPINA7
NM_000355.4	TCN2
NM_000358.3	TGFBI
NM_000359.3	TGM1
NM_000360.4	TH
NM_000361.3	THBD
NM_000362.5	TIMP3
NM_000363.5	TNNI3
NM_000365.6	TPI1
NM_000367.5	TPMT
NM_000368.5	TSC1
NM_000369.5	TSHR
NM_000370.3	TTPA
NM_000371.4	TTR
NM_000372.5	TYR
NM_000373.4	UMPS
NM_000374.5	UROD
NM_000375.3	UROS
NM_000376.3	VDR
NM_000377.3	WAS
NM_000379.4	XDH
NM_000380.4	XPA
NM_000381.4	MID1
NM_000382.3	ALDH3A2
NM_000383.4	AIRE
NM_000384.3	APOB
NM_000386.4	BLMH
NM_000387.6	SLC25A20
NM_000388.4	CASR
NM_000389.5	CDKN1A
NM_000390.4	CHM
NM_000391.4	TPP1
NM_000392.5	ABCC2
NM_000393.5	COL5A2
NM_000394.4	CRYAA
NM_000395.3	CSF2RB
NM_000396.4	CTSK
NM_000397.4	CYBB
NM_000398.7	CYB5R3
NM_000399.5	EGR2
NM_000400.4	ERCC2
NM_000404.4	GLB1
NM_000405.5	GM2A
NM_000406.3	GNRHR
NM_000407.5	GP1BB
NM_000408.5	GPD2
NM_000410.4	HFE
NM_000412.5	HRG
